"SYSZEIT";"ISOZEIT";"INTZEIT";"DATEI";"DRU_RL0_1_N";"DRU_RL0_1_O";"DRU_RL0_1_S";"DRU_RL0_1_W";"DRU_RL1_2_N";"DRU_RL1_2_O";"DRU_RL1_2_S";"DRU_RL1_2_W";"DRU_RL2_3_N";"DRU_RL2_3_O";"DRU_RL2_3_S";"DRU_RL2_3_W";"DRU_RL3_4_N";"DRU_RL3_4_O";"DRU_RL3_4_S";"DRU_RL3_4_W";"DRU_RL4_5_N";"DRU_RL4_5_O";"DRU_RL4_5_S";"DRU_RL4_5_W";"DRU_RL6_7_N";"DRU_RL6_7_O";"DRU_RL6_7_S";"DRU_RL6_7_W";"DRU_RL8_9_N";"DRU_RL8_9_O";"DRU_RL8_9_S";"DRU_RL8_9_W";"DRU_RL0_1_MW";"DRU_RL1_2_MW";"DRU_RL2_3_MW";"DRU_RL3_4_MW";"DRU_RL4_5_MW";"DRU_RL6_7_MW";"DRU_RL8_9_MW";"DDRU_RL0_REL";"DDRU_RL0_1_REL";"DDRU_RL2_REL";"DDRU_RL3_REL";"DDRU_RL4_REL";"DDRU_RL5_6_REL";"DDRU_RL7_8_REL";"DDRU_RL9_REL";"DRU_MW";"DRU_GG"
7.7.2020 10:00:21;7.7.2020 09:55:00;"2020070709155";"5MI";"3,3446183";"3,3492478";"3,3475118";"3,3611113";"3,3350697";"3,3582177";"3,3587965";"3,3113428";"3,1996529";"3,2980326";"3,0769677";"3,0836228";"2,9331598";"2,9293982";"2,9328705";"2,940683";"2,868345";"2,86169";"2,8758682";"2,8773149";"2,8058451";"2,8365163";"2,8067131";"2,8151043";"2,6958913";"2,7077547";"2,7013889";"2,7002316";"3,3506223";"3,3408567";"3,164569";"2,9340279";"2,8708045";"2,8160447";"2,7013166";"29,649546";"30,3186893";"12,0793127";"15,7967801";"4,3320959";"3,7521662";"7,8612211";"25,8597347";"3,7833332";"2,3239149"
7.7.2020 10:05:43;7.7.2020 10:00:00;"2020070710100";"5MI";"3,3443289";"3,3475118";"3,3498265";"3,3631367";"3,3373844";"3,3602432";"3,3735534";"3,3275465";"3,1851853";"3,2960071";"3,1027201";"3,1131367";"2,9739585";"2,9771413";"2,975984";"2,9806136";"2,9120372";"2,9088543";"2,919271";"2,920139";"2,8521413";"2,8240742";"2,8538775";"2,8614006";"2,7433451";"2,7566552";"2,7479747";"2,7488427";"3,351201";"3,3496819";"3,1742623";"2,9769244";"2,9150754";"2,8478734";"2,7492044";"32,0252586";"32,1334906";"12,4981992";"14,0598222";"4,4065835";"4,7879712";"7,0299147";"25,0840186";"3,8006944";"2,3971354"
7.7.2020 10:10:06;7.7.2020 10:05:00;"2020070710105";"5MI";"3,3122108";"3,3162618";"3,3165511";"3,3304399";"3,3003474";"3,3240742";"3,3284146";"3,2916668";"3,1229747";"3,2607061";"3,034433";"3,0760996";"2,9172455";"2,9160881";"2,9181136";"2,9239005";"2,8515627";"2,8480904";"2,8599539";"2,8622687";"2,7899307";"2,7928242";"2,7907987";"2,7989006";"2,67419";"2,6889469";"2,680845";"2,6802664";"3,3188659";"3,3111258";"3,1235534";"2,9188369";"2,8554689";"2,7931136";"2,6810621";"30,2802906";"30,8152917";"12,9651348";"14,1501469";"4,3800402";"4,3100417";"7,7450776";"25,6342671";"3,7569444";"2,3101997"
7.7.2020 10:15:09;7.7.2020 10:10:00;"2020070710110";"5MI";"3,3327548";"3,3347803";"3,3350696";"3,3492478";"3,3258103";"3,346065";"3,3483799";"3,3104747";"3,1739006";"3,2633103";"3,0465858";"3,1009839";"2,9539932";"2,9510997";"2,9476275";"2,9551506";"2,8877316";"2,883102";"2,8932293";"2,8961228";"2,8266784";"2,8376738";"2,8278358";"2,8350696";"2,7184607";"2,7300349";"2,7242478";"2,7233798";"3,3379631";"3,3326825";"3,1461952";"2,9519678";"2,8900464";"2,8318144";"2,7240308";"31,627539";"32,0028283";"13,2535465";"13,803631";"4,4007187";"4,1385152";"7,6601193";"24,740641";"3,7829862";"2,3759115"
7.7.2020 10:20:35;7.7.2020 10:15:00;"2020070710115";"5MI";"3,3070024";"3,3096066";"3,3107641";"3,3249423";"3,2986112";"3,3229168";"3,3258103";"3,2925348";"3,1744794";"3,2340858";"3,0306715";"3,0876738";"2,940683";"2,9340279";"2,9354747";"2,9427085";"2,873264";"2,8697918";"2,8810765";"2,8825233";"2,814815";"2,7991899";"2,8162617";"2,8240743";"2,7002316";"2,7152779";"2,707176";"2,7068867";"3,3130789";"3,3099683";"3,1317276";"2,9382235";"2,8766639";"2,8135852";"2,7073931";"31,5709515";"31,7915098";"12,6382265";"13,7204839";"4,3649075";"4,4726199";"7,5295924";"25,4826601";"3,7583335";"2,3480035"
7.7.2020 10:25:20;7.7.2020 10:20:00;"2020070710120";"5MI";"3,3177085";"3,3191553";"3,3182873";"3,3327547";"3,3090279";"3,3295719";"3,3237849";"3,2960071";"3,1660881";"3,2010997";"3,0066552";"3,0723381";"2,9114585";"2,9016205";"2,905382";"2,9137733";"2,8440395";"2,8370951";"2,8495371";"2,8524307";"2,7821182";"2,7962965";"2,7832756";"2,7907988";"2,6695603";"2,6822918";"2,6750581";"2,6744793";"3,3219765";"3,314598";"3,1115453";"2,9080586";"2,8457756";"2,7881223";"2,6753474";"30,1077427";"30,6128251";"13,8996193";"13,929328";"4,2634744";"3,9465563";"7,7198096";"25,6283872";"3,7618057";"2,3009549"
7.7.2020 10:30:07;7.7.2020 10:25:00;"2020070710125";"5MI";"3,3721066";"3,373264";"3,3738427";"3,3871529";"3,3715279";"3,3914933";"3,3935187";"3,3538775";"3,2343752";"3,2546299";"3,0899886";"3,1579862";"2,9968173";"2,9858219";"2,9918983";"3,0052085";"2,9317131";"2,9239006";"2,9366321";"2,9418404";"2,8718173";"2,8498265";"2,872396";"2,8799191";"2,7604168";"2,7734376";"2,7670719";"2,7667825";"3,3765916";"3,3776044";"3,184245";"2,9949365";"2,9335216";"2,8684897";"2,7669272";"31,3908601";"31,3196281";"13,599317";"13,3144099";"4,3194212";"4,5738114";"7,1430747";"25,7303378";"3,8229168";"2,4010851"
7.7.2020 10:35:16;7.7.2020 10:30:00;"2020070710130";"5MI";"3,3229169";"3,3252316";"3,3255209";"3,3394099";"3,3162617";"3,3339122";"3,3399886";"3,3032409";"3,1698497";"3,1883682";"3,0185186";"3,0856483";"2,9169562";"2,9079863";"2,9131946";"2,920139";"2,8504052";"2,8428821";"2,8556136";"2,8587964";"2,788484";"2,7974539";"2,7890627";"2,7968751";"2,6695603";"2,6840279";"2,6776621";"2,6767941";"3,3282698";"3,3233509";"3,1155962";"2,914569";"2,8519243";"2,7929689";"2,6770111";"30,3465492";"30,6814728";"14,1458368";"13,6877672";"4,2654231";"4,0142219";"7,8954658";"25,3098124";"3,7739584";"2,3052952"
7.7.2020 10:40:20;7.7.2020 10:35:00;"2020070710135";"5MI";"3,35272";"3,3547455";"3,3556136";"3,3695025";"3,3420141";"3,362558";"3,3654515";"3,3307293";"3,1793983";"3,2068868";"3,0506367";"3,1171877";"2,9484955";"2,9380788";"2,9450233";"2,9548612";"2,88397";"2,8755788";"2,8877316";"2,8926506";"2,8223381";"2,8440395";"2,8223381";"2,8301506";"2,7094909";"2,7222223";"2,7155673";"2,7149886";"3,3581454";"3,3501882";"3,1385274";"2,9466147";"2,8849828";"2,8297166";"2,7155673";"29,9928991";"30,5429722";"14,6318944";"13,2667285";"4,2605502";"3,8204958";"7,8910243";"25,5863347";"3,7920141";"2,3454427"
7.7.2020 10:45:04;7.7.2020 10:40:00;"2020070710140";"5MI";"3,314815";"3,3177085";"3,3188659";"3,3321761";"3,3084492";"3,3310187";"3,346065";"3,2977432";"3,1400465";"3,1909724";"3,0462964";"3,0995372";"2,9522571";"2,9473381";"2,9499423";"2,9589122";"2,8903357";"2,8842594";"2,8946761";"2,8984376";"2,8304399";"2,8020835";"2,8315973";"2,8391205";"2,7144098";"2,7297455";"2,7216437";"2,7213543";"3,3208914";"3,320819";"3,1192131";"2,9521124";"2,8919272";"2,8258103";"2,7217883";"32,331065";"32,336204";"14,3099183";"11,860751";"4,2719251";"4,6929551";"7,3834463";"25,1448003";"3,776389";"2,3675347"
